Authors	records	% of 115363
ABRAHAM JJ	20	0.017
ALLAN TM	20	0.017
ALLBUTT C	20	0.017
ALTMAN DG	20	0.017
ANDERSON JP	20	0.017
BARBER HW	20	0.017
BARNES J	20	0.017
BARRIE H	20	0.017
BEEVERS DG	20	0.017
BELL PRF	20	0.017
BRAILLON A	20	0.017
BROWNE D	20	0.017
BYROM FB	20	0.017
CHIBA S	20	0.017
CONCIA E	20	0.017
DAVIS E	20	0.017
DEINHARDT F	20	0.017
DONATI MB	20	0.017
DRAPER P	20	0.017
EBRAHIM S	20	0.017
ELLIS SJ	20	0.017
EMERY AEH	20	0.017
EVANS P	20	0.017
FOX R	20	0.017
FOX RF	20	0.017
FUJITA T	20	0.017
GARROW JS	20	0.017
GOLDHIRSCH A	20	0.017
GORDON I	20	0.017
GOTZSCHE PC	20	0.017
GRANT A	20	0.017
HARPER PS	20	0.017
HARRISON LW	20	0.017
HIRSCHHORN K	20	0.017
HORSEY PJ	20	0.017
HUTCHISON R	20	0.017
ILLINGWORTH RS	20	0.017
JACKSON WPU	20	0.017
JACOBS P	20	0.017
KEITH A	20	0.017
KENNEDY A	20	0.017
LEONARD JV	20	0.017
LITTLEWOOD JM	20	0.017
MCGEOWN MG	20	0.017
MILLER E	20	0.017
MISIEWICZ JJ	20	0.017
MOORHEAD JF	20	0.017
OSLER W	20	0.017
PARSONS JH	20	0.017
PAYNE RB	20	0.017
PINCHING AJ	20	0.017
POWELL RD	20	0.017
PRESTON FE	20	0.017
REIBNEGGER G	20	0.017
RICHENS A	20	0.017
RITZ E	20	0.017
ROBINSON A	20	0.017
ROSS R	20	0.017
SEGALL JJ	20	0.017
SELKON JB	20	0.017
SEVITT S	20	0.017
SIMMS M	20	0.017
STANNUS HS	20	0.017
TRUSWELL AS	20	0.017
VALE JA	20	0.017
WARD E	20	0.017
WATSON CG	20	0.017
WEST S	20	0.017
WILLIAMS CD	20	0.017
WILMSHURST P	20	0.017
WITTS LJ	20	0.017
WRIGHT S	20	0.017
ABLIN RJ	19	0.016
ALEXANDER WD	19	0.016
BAIN AD	19	0.016
BALFOUR A	19	0.016
BALL K	19	0.016
BANKS HS	19	0.016
BENNETT TI	19	0.016
BIRCH CA	19	0.016
BLACK DAK	19	0.016
BLAMEY RW	19	0.016
BRUCE W	19	0.016
BURDEN AC	19	0.016
BURKE ET	19	0.016
BURTON AHG	19	0.016
CAMPBELL J	19	0.016
CHAMBERLAIN G	19	0.016
CHANNER KS	19	0.016
CLARKE M	19	0.016
COGHILL NF	19	0.016
COHEN H	19	0.016
CONTRERAS M	19	0.016
COOKE RWI	19	0.016
CRAWFORD MA	19	0.016
DALDERUP LM	19	0.016
DAVIES DP	19	0.016
EYKYN SJ	19	0.016
FIELDING J	19	0.016
GEORGE RH	19	0.016
GINSBURG J	19	0.016
GOLD MS	19	0.016
GOODWIN JF	19	0.016
GORDON W	19	0.016
GRAY RH	19	0.016
HALL B	19	0.016
HARRIES AD	19	0.016
HARRIS A	19	0.016
HART FD	19	0.016
HAWTHORNE CO	19	0.016
HILL AB	19	0.016
HUGHESDAVIES TH	19	0.016
JONES DM	19	0.016
JONES M	19	0.016
KOHN J	19	0.016
LATHAM A	19	0.016
LIP GYH	19	0.016
MANDAL BK	19	0.016
MARSHALL J	19	0.016
