Authors	records	% of 108010
BIASINI M	257	0.238
FINOCCHIARO G	257	0.238
MOORE R	257	0.238
STELZER B	257	0.238
TERASHI K	257	0.238
WATSON AT	257	0.238
BOVEIA A	256	0.237
BUDAGOV J	256	0.237
CHLACHIDZE G	256	0.237
GLAGOLEV V	256	0.237
HUSEMANN U	256	0.237
IASHVILI I	256	0.237
KAJFASZ E	256	0.237
LYNCH HL	256	0.237
POMPILI A	256	0.237
RAHATLOU S	256	0.237
STELZER-CHILTON O	256	0.237
TAKEUCHI Y	256	0.237
ALKHAZOV G	255	0.236
CANELLI F	255	0.236
CHOU JP	255	0.236
DAGENHART D	255	0.236
DEL BUONO L	255	0.236
KROEGER R	255	0.236
MADRAK R	255	0.236
WON E	255	0.236
CHANG P	254	0.235
CHEN A	254	0.235
HAUPTMAN JM	254	0.235
MCCARTHY R	254	0.235
MONDAL NK	254	0.235
ROBUTTI E	254	0.235
FABOZZI F	253	0.234
GRUNENDAHL S	253	0.234
SHIVPURI RK	253	0.234
TITOV M	253	0.234
ABE K	252	0.233
AIHARA H	252	0.233
BONA M	252	0.233
COOPER WE	252	0.233
HARTILL DL	252	0.233
HITLIN DG	252	0.233
KUHLMANN SE	252	0.233
PIERINI M	252	0.233
SEKULA SJ	252	0.233
WATERS D	252	0.233
BOISVERT V	251	0.232
HUFFMAN BT	251	0.232
MARSISKE H	251	0.232
ASKEW A	250	0.231
GARCIA-BELLIDO A	250	0.231
HARDER K	250	0.231
JINDARIANI S	250	0.231
KIM P	250	0.231
MIYAKE H	250	0.231
PIEGAIA R	250	0.231
SCIOLLA G	250	0.231
WOOD DR	250	0.231
ZALLO A	250	0.231
AZZOLINI V	249	0.231
CALABRESE R	249	0.231
ELMER P	249	0.231
LANGE DJ	249	0.231
SALEEM M	249	0.231
SINGH JB	249	0.231
TAKAHASHI T	249	0.231
TULLY C	249	0.231
ZHOU B	249	0.231
RICCIARDI S	248	0.230
SOMALWAR S	248	0.230
ABOLINS M	247	0.229
FISK HE	247	0.229
KHARCHILAVA A	247	0.229
KHOTILOVICH V	247	0.229
KIMURA N	247	0.229
LUPPI E	247	0.229
NAKAMURA K	247	0.229
SANSONI A	247	0.229
TOKAR S	247	0.229
BURCHAT PR	246	0.228
ENO S	246	0.228
EVANS H	246	0.228
LUSIANI A	246	0.228
NEAL H	246	0.228
SZNAJDER A	246	0.228
BARTLETT JF	245	0.227
JABEEN S	245	0.227
OLSEN SL	245	0.227
PALOMBO F	245	0.227
SEMENOV A	245	0.227
SOSEBEE M	245	0.227
YAO WM	245	0.227
BEHERA PK	244	0.226
CASSEL DG	243	0.225
DAVID P	243	0.225
GAY C	243	0.225
GIUNTA M	243	0.225
YASUDA T	243	0.225
LIU C	242	0.224
ROSENBERG EI	242	0.224
SANTORO A	242	0.224
SPHICAS P	242	0.224
UVAROV L	242	0.224
WANG C	242	0.224
WARCHOL J	242	0.224
BESANCON M	241	0.223
EHRLICH R	241	0.223
EISNER AM	241	0.223
LYSAK R	241	0.223
PAN Y	241	0.223
PETERSON D	241	0.223
SAVINOV V	241	0.223
SCIACCA C	241	0.223
STOLIN V	241	0.223
XU Z	241	0.223
YOUNG CC	241	0.223
BACK JJ	240	0.222
CATASTINI P	240	0.222
GAO Y	240	0.222
NARSKY I	240	0.222
WILSON RJ	240	0.222
BOSE T	239	0.221
HEUSCH CA	239	0.221
ITO AS	239	0.221
MADARAS RJ	239	0.221
OGAWA S	239	0.221
RATCLIFF BN	239	0.221
WANG M	239	0.221
ASTON D	238	0.220
BADEN A	238	0.220
BRIGLIADORI L	238	0.220
KUNORI S	238	0.220
SADOFF AJ	238	0.220
SALVATORE F	238	0.220
SANDERS DA	238	0.220
VASSEUR G	238	0.220
BRANDENBURG G	237	0.219
CANEPA A	237	0.219
CIOCCI MA	237	0.219
DIEHL HT	237	0.219
ERNST J	237	0.219
FIELD RC	237	0.219
JOHNS K	237	0.219
PUROHIT MV	237	0.219
SCURI F	237	0.219
SMITH AJS	237	0.219
SNYDER A	237	0.219
SORIN V	237	0.219
WAGNER W	237	0.219
ZHANG Z	237	0.219
BEHARI S	236	0.218
DE CECCO S	236	0.218
HEDIN D	236	0.218
JONCKHEERE A	236	0.218
SIMAK V	236	0.218
SPALDING J	236	0.218
VOLPI G	236	0.218
YAMADA R	236	0.218
BROWN DN	235	0.218
