Authors	records	% of 178136
KISHI Y	74	0.042
LEWIS ES	74	0.042
MURAKAMI M	74	0.042
ROBB MA	74	0.042
SCHERAGA HA	74	0.042
ARIF AM	73	0.041
BALZANI V	73	0.041
BERTRAND G	73	0.041
ELLMAN JA	73	0.041
FERINGA BL	73	0.041
FIELD FH	73	0.041
HOLMES RR	73	0.041
KOELSCH CF	73	0.041
LI B	73	0.041
LONG FA	73	0.041
SALTIEL J	73	0.041
SARGESON AM	73	0.041
SELWOOD PW	73	0.041
SHECHTER H	73	0.041
WENDER PA	73	0.041
ADAMS RD	72	0.040
BACH RD	72	0.040
BLOUT ER	72	0.040
BRADSHER CK	72	0.040
CHEN X	72	0.040
DAY VW	72	0.040
ECHEGOYEN L	72	0.040
FORD PC	72	0.040
GIAUQUE WF	72	0.040
GREY CP	72	0.040
HOFMANN K	72	0.040
KORNBLUM N	72	0.040
LUCAS HJ	72	0.040
MACMILLAN DWC	72	0.040
OHKUBO K	72	0.040
PEASE RN	72	0.040
SHARPLESS KB	72	0.040
SHRINER RL	72	0.040
STAHL SS	72	0.040
STILLE JK	72	0.040
TANAKA M	72	0.040
VANWAZER JR	72	0.040
CRABTREE RH	71	0.040
HENZE HR	71	0.040
JONES G	71	0.040
KITAGAWA S	71	0.040
NAGANO T	71	0.040
PAULING L	71	0.040
PETERS JC	71	0.040
SATO K	71	0.040
SHIRO M	71	0.040
TAKAHASHI T	71	0.040
TRUCE WE	71	0.040
WANG Q	71	0.040
BARAN PS	70	0.039
CHIANG Y	70	0.039
HENNION GF	70	0.039
LI CH	70	0.039
MEYERS AI	70	0.039
ROBINS RK	70	0.039
SHERMAN HC	70	0.039
SUTIN N	70	0.039
TIDWELL TT	70	0.039
XU B	70	0.039
YAMAMOTO K	70	0.039
BAULD NL	69	0.039
CLOSS GL	69	0.039
FACCHETTI A	69	0.039
GLADYSZ JA	69	0.039
GOODMAN M	69	0.039
GRILLER D	69	0.039
LIN WB	69	0.039
LUCHINAT C	69	0.039
NOZAKI K	69	0.039
OLIVUCCI M	69	0.039
PARKIN G	69	0.039
POULTER CD	69	0.039
SUZUKI M	69	0.039
APELOIG Y	68	0.038
GRIMES RN	68	0.038
KOBAYASHI Y	68	0.038
MCCAMMON JA	68	0.038
NAKAMURA A	68	0.038
RAPPOPORT Z	68	0.038
SMITH F	68	0.038
SPEK AL	68	0.038
ARNOLD RT	67	0.038
CALABRESE JC	67	0.038
CHRISTOU G	67	0.038
CROOKS RM	67	0.038
DENNEY DB	67	0.038
EMMETT PH	67	0.038
JONES RG	67	0.038
JONES WM	67	0.038
KARPLUS M	67	0.038
KATZ JJ	67	0.038
KOOL ET	67	0.038
LI W	67	0.038
MOSHER HS	67	0.038
NOYES RM	67	0.038
REICH HJ	67	0.038
SCHATZ GC	67	0.038
SHEA KJ	67	0.038
STERN CL	67	0.038
TANG Y	67	0.038
THERIEN MJ	67	0.038
TISHLER M	67	0.038
WHITE EH	67	0.038
BENTRUDE WG	66	0.037
CAVA MP	66	0.037
COOKS RG	66	0.037
JIANG L	66	0.037
LIU C	66	0.037
MCEWEN WE	66	0.037
OAKLEY RT	66	0.037
ORCHIN M	66	0.037
ROSS SD	66	0.037
SATO T	66	0.037
SAUVAGE JP	66	0.037
SMITH HA	66	0.037
SRINIVASAN R	66	0.037
WANG P	66	0.037
BUCK JS	65	0.036
DEHN WM	65	0.036
FOLTING K	65	0.036
GLEITER R	65	0.036
JONES M	65	0.036
LI Z	65	0.036
MAYO FR	65	0.036
MCKEE ML	65	0.036
NUCKOLLS C	65	0.036
PERRIN CL	65	0.036
PRATO M	65	0.036
SCATCHARD G	65	0.036
SNYDER JP	65	0.036
WILEY RH	65	0.036
WU G	65	0.036
WU YD	65	0.036
ANGELICI RJ	64	0.036
FARHA OK	64	0.036
HARMAN WD	64	0.036
KIM SH	64	0.036
LEE Y	64	0.036
LI X	64	0.036
MYERS AG	64	0.036
NAM W	64	0.036
NEESE F	64	0.036
SABAT M	64	0.036
SMITH PAS	64	0.036
WATANABE Y	64	0.036
WATT GW	64	0.036
BURGER A	63	0.035
CORBETT JD	63	0.035
FIFE TH	63	0.035
GREENBERG MM	63	0.035
GROSS ML	63	0.035
GUST D	63	0.035
JONES WD	63	0.035
KIRA M	63	0.035
KLOTZ IM	63	0.035
KOBAYASHI H	63	0.035
KUNITAKE T	63	0.035
LI Q	63	0.035
NOLLER CR	63	0.035
ROTELLO VM	63	0.035
SASAKI T	63	0.035
SCHOWEN RL	63	0.035
SCHUSTER DI	63	0.035
SCOTT LT	63	0.035
STRAUSZ OP	63	0.035
THIEL W	63	0.035
WALSH PJ	63	0.035
WINNIK MA	63	0.035
BENKOVIC SJ	62	0.035
CHANG CJ	62	0.035
CHEN H	62	0.035
DAVIDSON ER	62	0.035
HARRIS TM	62	0.035
HEGEDUS LS	62	0.035
HILL CL	62	0.035
JOHNSON CR	62	0.035
KADISH KM	62	0.035
KIM K	62	0.035
MCBAIN JW	62	0.035
MILAS NA	62	0.035
MOBASHERY S	62	0.035
NAKAMURA T	62	0.035
TOWNSEND CA	62	0.035
WANG B	62	0.035
WANG LS	62	0.035
YAMAGUCHI S	62	0.035
CHATANI N	61	0.034
CHEN P	61	0.034
FORBES GS	61	0.034
FRENKING G	61	0.034
GOKEL GW	61	0.034
HOARD JL	61	0.034
LAHAV M	61	0.034
MACIEL GE	61	0.034
MOSETTIG E	61	0.034
NORTON JR	61	0.034
NOYCE DS	61	0.034
PARK S	61	0.034
POPOV AI	61	0.034
SAWYER DT	61	0.034
SCHRAUZER GN	61	0.034
SEN A	61	0.034
SHINER VJ	61	0.034
SIGMAN MS	61	0.034
SPOERRI PE	61	0.034
SUTER CM	61	0.034
WALKER FA	61	0.034
WRIGHT GF	61	0.034
ANDERSEN RA	60	0.034
ARMSTRONG FA	60	0.034
COATES GW	60	0.034
CRAMER SP	60	0.034
DARENSBOURG DJ	60	0.034
DAVIS RE	60	0.034
FINKE RG	60	0.034
FUKUYAMA T	60	0.034
GAJEWSKI JJ	60	0.034
GOODMAN L	60	0.034
IWAMURA H	60	0.034
JERINA DM	60	0.034
KAESZ HD	60	0.034
LAMMERTSMA K	60	0.034
LATIMER WM	60	0.034
LEIGH DA	60	0.034
MATSUNAGA S	60	0.034
MAYR H	60	0.034
MORTON AA	60	0.034
ROTH HD	60	0.034
SCHWARTZ J	60	0.034
SCOTT AI	60	0.034
SHRIVER DF	60	0.034
STEVENS CL	60	0.034
TABUSHI I	60	0.034
TANAKA T	60	0.034
WHISTLER RL	60	0.034
YAMAMOTO T	60	0.034
YAN H	60	0.034
ANSLYN EV	59	0.033
BAUER SH	59	0.033
BURWELL RL	59	0.033
CHEN CH	59	0.033
COUCOUVANIS D	59	0.033
CREMER D	59	0.033
GEIGER WE	59	0.033
GUTSCHE CD	59	0.033
HAMMETT LP	59	0.033
HORNING EC	59	0.033
KANAI M	59	0.033
LYNCH VM	59	0.033
MAEDA Y	59	0.033
MCCLELLAND RA	59	0.033
RICHTMYER NK	59	0.033
ROVIS T	59	0.033
SCHLEGEL HB	59	0.033
SOMORJAI GA	59	0.033
SUZUKI K	59	0.033
WILLARD JE	59	0.033
XIE Y	59	0.033
BRITT RD	58	0.033
CHIRIK PJ	58	0.033
DENO NC	58	0.033
DUNBAR RC	58	0.033
ERKER G	58	0.033
FETTINGER JC	58	0.033
FRIEDMAN L	58	0.033
KILPATRICK M	58	0.033
LEETE E	58	0.033
MERZ KM	58	0.033
SAITO S	58	0.033
SHEVLIN PB	58	0.033
SILVERMAN RB	58	0.033
SMITH JM	58	0.033
SQUIRES RR	58	0.033
VAN TAMELEN EE	58	0.033
XU J	58	0.033
YANG NC	58	0.033
ZHAO DY	58	0.033
BILL E	57	0.032
BLOMQUIST AT	57	0.032
BODENHAUSEN G	57	0.032
CALDWELL RA	57	0.032
CHE CM	57	0.032
CHEN HY	57	0.032
COPERET C	57	0.032
DOYLE MP	57	0.032
FANWICK PE	57	0.032
GRIESINGER C	57	0.032
HAWKER CJ	57	0.032
KARLE IL	57	0.032
MAGNUS P	57	0.032
MALLOUK TE	57	0.032
MILLER JS	57	0.032
MORI T	57	0.032
NIEUWLAND JA	57	0.032
PASTO DJ	57	0.032
POWELL DR	57	0.032
ROMESBERG FE	57	0.032
ROUSH WR	57	0.032
WHITE JD	57	0.032
YANG H	57	0.032
ARCHER S	56	0.031
ASHBY EC	56	0.031
BALTZLY R	56	0.031
CADY GH	56	0.031
CHANG CK	56	0.031
CUMMINS CC	56	0.031
FRIED J	56	0.031
INOUE S	56	0.031
JENSEN FR	56	0.031
KAHNE D	56	0.031
KOGA N	56	0.031
LIU F	56	0.031
LIU Z	56	0.031
NAKAMURA M	56	0.031
PETTIT R	56	0.031
SCHLESINGER HI	56	0.031
TOLMAN WB	56	0.031
WANG S	56	0.031
YOSHIDA T	56	0.031
ZHOU J	56	0.031
ALIVISATOS AP	55	0.031
ANDO W	55	0.031
BU XH	55	0.031
CLARK T	55	0.031
COHEN T	55	0.031
DANIELS F	55	0.031
DANISHEFSKY S	55	0.031
DARENSBOURG MY	55	0.031
DENG L	55	0.031
DETAR DF	55	0.031
ELLIS PD	55	0.031
FOX MA	55	0.031
FRAENKEL G	55	0.031
JAFFE HH	55	0.031
JARROLD MF	55	0.031
KIM HJ	55	0.031
KOBAYASHI N	55	0.031
KREEVOY MM	55	0.031
LANSBURY PT	55	0.031
LEISEROWITZ L	55	0.031
LUSZTYK J	55	0.031
MATSUURA T	55	0.031
NOLTE RJM	55	0.031
RICCI JE	55	0.031
RINGOLD HJ	55	0.031
ROGERS MT	55	0.031
SANFORD MS	55	0.031
SCHUMB WC	55	0.031
VERKADE JG	55	0.031
WILLIAMS ER	55	0.031
WINKLER JR	55	0.031
YAMASHITA M	55	0.031
YANG D	55	0.031
YASHIMA E	55	0.031
ALLEN CFH	54	0.030
BAKER BR	54	0.030
BIERBAUM VM	54	0.030
CACACE F	54	0.030
CHEN W	54	0.030
CHEN Z	54	0.030
CORWIN AH	54	0.030
DOUGHERTY DA	54	0.030
DUNBAR KR	54	0.030
DYE JL	54	0.030
EATON PE	54	0.030
FENDLER JH	54	0.030
GAO Y	54	0.030
GEISSMAN TA	54	0.030
GROSSE AV	54	0.030
HALLER HL	54	0.030
ITO T	54	0.030
JONES RA	54	0.030
KASS SR	54	0.030
LIMBACH HH	54	0.030
MEOTNER M	54	0.030
PARKER VD	54	0.030
SINGLETON DA	54	0.030
STEENKEN S	54	0.030
SWERN D	54	0.030
TEMPLETON JL	54	0.030
TROGLER WC	54	0.030
WILLIAMS F	54	0.030
YU Y	54	0.030
ZHANG XM	54	0.030
ZWEIFEL G	54	0.030
AGOSTA WC	53	0.030
ASHER SA	53	0.030
BOLLINGER JM	53	0.030
CARPENTER BK	53	0.030
CHURCHILL MR	53	0.030
CUNDARI TR	53	0.030
FRIEND CM	53	0.030
FUCHS PL	53	0.030
HEIDELBERGER M	53	0.030
HUANG Y	53	0.030
JAMES C	53	0.030
KIM JH	53	0.030
KIM KS	53	0.030
LI C	53	0.030
MARDER SR	53	0.030
NOZAKI H	53	0.030
SATO Y	53	0.030
SIMONS JH	53	0.030
STILL WC	53	0.030
TOLBERT LM	53	0.030
